CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Baltimore,150000.0,2.0,1.0,Ward 21,1152.0,1898.0,130.0
Baltimore,180000.0,2.0,2.0,Ward 4,1461.0,2006.0,123.0
Baltimore,215000.0,3.0,2.0,Ward 27,1728.0,1902.0,124.0
Baltimore,190000.0,3.0,2.0,Ward 27,1575.0,1926.0,121.0
Baltimore,145000.0,1.0,1.0,ROCKLAND RUN,924.0,1970.0,157.0
Baltimore,385000.0,5.0,3.0,Ward 15,3306.0,2008.0,116.0
Baltimore,115000.0,3.0,1.0,Ward 27,1216.0,1947.0,95.0
Baltimore,210000.0,3.0,1.0,Ward 27,1400.0,1955.0,150.0
Baltimore,340000.0,3.0,1.0,Ward 1,1734.0,1910.0,196.0
Baltimore,197000.0,4.0,2.0,Ward 18,1116.0,1920.0,177.0
Baltimore,325000.0,3.0,2.0,BROOKFALLS,1800.0,1985.0,181.0
Baltimore,212500.0,1.0,1.0,Ward 13,966.0,2006.0,220.0
Baltimore,260000.0,3.0,2.0,Ward 26,1930.0,1920.0,135.0
Baltimore,200000.0,1.0,1.0,Ward 2,803.0,1900.0,249.0
Baltimore,234000.0,2.0,1.0,Ward 22,1064.0,1920.0,220.0
Baltimore,193000.0,3.0,2.0,Ward 27,2128.0,1950.0,91.0
Baltimore,208000.0,3.0,2.0,Ward 17,1408.0,2002.0,148.0
Baltimore,277500.0,3.0,2.0,Ward 27,1712.0,1921.0,162.0
Baltimore,259900.0,2.0,2.0,Ward 4,1089.0,2008.0,239.0
Baltimore,315000.0,3.0,2.0,MERIDALE LITTLE FARMS,1480.0,1918.0,213.0
Baltimore,195000.0,3.0,1.0,Ward 27,1216.0,1945.0,160.0
Baltimore,452500.0,4.0,4.0,Ward 6,2654.0,1920.0,170.0
Baltimore,214900.0,3.0,1.0,Ward 26,1055.0,1955.0,204.0
Baltimore,99000.0,3.0,1.0,Ward 25,1280.0,1961.0,77.0
Baltimore,113000.0,2.0,1.0,DEFENSE HEIGHTS,977.0,1943.0,116.0
Baltimore,175000.0,3.0,1.0,NORTHBROOK,1280.0,1952.0,137.0
Baltimore,418500.0,2.0,2.0,Ward 24,2059.0,2005.0,203.0
Baltimore,325000.0,3.0,2.0,ANNESLIE,1846.0,1959.0,176.0
Baltimore,725000.0,4.0,2.0,STONELEIGH,2614.0,1938.0,277.0
Baltimore,785000.0,3.0,2.0,Ward 3,2882.0,2005.0,272.0
Baltimore,505000.0,3.0,3.0,Ward 24,2252.0,2006.0,224.0
Baltimore,217000.0,2.0,1.0,Ward 23,860.0,1900.0,252.0
Baltimore,120000.0,2.0,1.0,Ward 26,768.0,1913.0,156.0
Baltimore,275000.0,2.0,2.0,Ward 12,1212.0,1964.0,227.0
Baltimore,305000.0,3.0,2.0,Ward 27,1724.0,1933.0,177.0
Baltimore,130000.0,2.0,1.0,Ward 13,1212.0,1880.0,107.0
Baltimore,372000.0,3.0,1.0,RODGERS FORGE,1527.0,1954.0,244.0
Baltimore,316500.0,3.0,3.0,Ward 23,1750.0,1860.0,181.0
Baltimore,240000.0,3.0,1.0,Ward 9,1300.0,1941.0,185.0
Baltimore,150000.0,4.0,2.0,Ward 16,1314.0,1927.0,114.0
Baltimore,150000.0,3.0,1.0,Ward 12,1138.0,1900.0,132.0
Baltimore,395000.0,3.0,3.0,Ward 27,1912.0,1986.0,207.0
Baltimore,283250.0,5.0,2.0,Ward 27,2667.0,1925.0,106.0
Baltimore,825000.0,6.0,3.0,Ward 27,3652.0,1908.0,226.0
Baltimore,70000.0,3.0,1.0,Ward 27,1268.0,1924.0,55.0
Baltimore,335000.0,3.0,2.0,Ward 26,1920.0,2012.0,174.0
Baltimore,110000.0,3.0,3.0,Ward 26,1152.0,1931.0,95.0
Baltimore,175000.0,4.0,1.0,EASTWOOD,1168.0,1953.0,150.0
Baltimore,290000.0,3.0,1.0,Ward 9,2096.0,1920.0,138.0
Baltimore,53000.0,3.0,1.0,Ward 20,1080.0,1939.0,49.0
Baltimore,185000.0,2.0,2.0,Ward 27,1604.0,1953.0,115.0
Baltimore,3200000.0,3.0,3.0,Ward 3,3085.0,2017.0,1037.0
Baltimore,55000.0,2.0,1.0,ARMISTEAD GARDENS,50.0,1940.0,1100.0
Baltimore,299500.0,2.0,2.0,Ward 27,1217.0,1967.0,246.0
Baltimore,238000.0,3.0,2.0,Ward 27,1900.0,2007.0,125.0
Boston,536000.0,2.0,1.0,West Roxbury,1083.0,2011.0,495.0
Boston,1725000.0,5.0,3.0,Jamaica Plain,3060.0,1900.0,564.0
Boston,769000.0,1.0,1.0,Back Bay,620.0,1869.0,1240.0
Boston,580000.0,3.0,1.0,Boston,1538.0,1900.0,377.0
Boston,1053800.0,11.0,3.0,Boston,4377.0,1905.0,241.0
Boston,420000.0,2.0,1.0,Boston,723.0,1910.0,581.0
Boston,340000.0,1.0,1.0,Boston,853.0,1986.0,399.0
Boston,642500.0,1.0,1.0,Boston,837.0,1899.0,768.0
Boston,345000.0,1.0,1.0,Jamaica Plain,845.0,1964.0,408.0
Boston,1130000.0,3.0,2.0,Boston,2341.0,2017.0,483.0
Boston,1599000.0,3.0,3.0,North End,1500.0,2022.0,1066.0
Boston,1310000.0,1.0,1.0,South End,817.0,2021.0,1603.0
Milton,721500.0,1.0,1.0,Milton,1388.0,2003.0,520.0
Boston,779900.0,1.0,1.0,Brighton,734.0,2022.0,1063.0
Boston,1519900.0,2.0,2.0,South End,1028.0,2021.0,1479.0
Boston,819900.0,1.0,1.0,Brighton,734.0,2022.0,1117.0
Boston,825000.0,2.0,2.0,East Boston,1135.0,2022.0,727.0
Canton,824430.0,2.0,2.0,Canton,1802.0,2022.0,458.0
Canton,747208.0,2.0,2.0,Canton Junction,1555.0,2022.0,481.0
Boston,1749900.0,3.0,2.0,Brighton,1590.0,2022.0,1101.0
Boston,694900.0,1.0,1.0,Brighton,676.0,2022.0,1028.0
Boston,425000.0,1.0,1.0,Boston,512.0,1989.0,830.0
Boston,265000.0,2.0,1.0,Boston,660.0,2002.0,402.0
Boston,719900.0,1.0,1.0,Brighton,676.0,2022.0,1065.0
Boston,439900.0,1.0,1.0,Boston,689.0,2015.0,638.0
Boston,400000.0,1.0,1.0,East Boston,605.0,2022.0,661.0
Canton,642729.0,2.0,2.0,Canton,1321.0,2022.0,487.0
Boston,1609900.0,2.0,2.0,South End,1157.0,2021.0,1391.0
Boston,1499900.0,2.0,2.0,South End,1028.0,2021.0,1459.0
Canton,664906.0,2.0,2.0,Canton,1555.0,2022.0,428.0
Canton,713546.0,2.0,2.0,Canton,1555.0,2022.0,459.0
Boston,924000.0,3.0,2.0,West Roxbury,1869.0,2022.0,494.0
Boston,4495000.0,3.0,3.0,Seaport District,2126.0,2020.0,2114.0
Boston,1230000.0,2.0,1.0,South End,959.0,1890.0,1283.0
Boston,2625000.0,4.0,4.0,North End,2400.0,2022.0,1094.0
Boston,695000.0,2.0,2.0,East Boston,1050.0,2022.0,662.0
Boston,889000.0,3.0,2.0,West Roxbury,1866.0,2023.0,476.0
Boston,625000.0,4.0,2.0,Dorchester's Fields Corner,2131.0,1900.0,293.0
Boston,645000.0,2.0,1.0,North End,715.0,1900.0,902.0
Boston,889000.0,3.0,2.0,West Roxbury,1868.0,2023.0,476.0
Boston,925000.0,3.0,2.0,West Roxbury,1852.0,2022.0,499.0
Boston,579000.0,1.0,1.0,Dorchester,823.0,2022.0,704.0
Boston,590000.0,2.0,1.0,South Boston,680.0,1890.0,868.0
Boston,977400.0,2.0,2.0,Brighton,902.0,2022.0,1084.0
Boston,654000.0,2.0,2.0,East Boston's Orient Heights,1153.0,2022.0,567.0
