CITY,PRICE,BEDS,BATHS,SQFT,PRICE/SQFT
Baltimore,150000.0,2.0,1.5,1152.0,130.0
Baltimore,180000.0,2.0,2.0,1461.0,123.0
Baltimore,215000.0,3.0,2.0,1728.0,124.0
Baltimore,190000.0,3.0,2.0,1575.0,121.0
Baltimore,145000.0,1.0,1.0,924.0,157.0
Baltimore,381000.0,4.0,3.5,3059.0,125.0
Baltimore,385000.0,5.0,3.5,3306.0,116.0
Baltimore,115000.0,3.0,1.0,1216.0,95.0
Baltimore,210000.0,3.0,1.5,1400.0,150.0
Baltimore,340000.0,3.0,1.5,1734.0,196.0
Baltimore,197000.0,4.0,2.5,1116.0,177.0
Baltimore,325000.0,3.0,2.5,1800.0,181.0
Baltimore,212500.0,1.0,1.0,966.0,220.0
Baltimore,260000.0,3.0,2.0,1930.0,135.0
Baltimore,200000.0,1.0,1.0,803.0,249.0
Baltimore,234000.0,2.0,1.5,1064.0,220.0
Baltimore,193000.0,3.0,2.5,2128.0,91.0
Baltimore,208000.0,3.0,2.5,1408.0,148.0
Baltimore,277500.0,3.0,2.0,1712.0,162.0
Baltimore,259900.0,2.0,2.0,1089.0,239.0
Baltimore,315000.0,3.0,2.0,1480.0,213.0
Baltimore,195000.0,3.0,1.5,1216.0,160.0
Baltimore,452500.0,4.0,4.5,2654.0,170.0
Baltimore,214900.0,3.0,1.0,1055.0,204.0
Baltimore,99000.0,3.0,1.0,1280.0,77.0
Baltimore,113000.0,2.0,1.0,977.0,116.0
Baltimore,175000.0,3.0,1.5,1280.0,137.0
Baltimore,418500.0,2.0,2.0,2059.0,203.0
Baltimore,225000.0,1.0,1.5,820.0,274.0
Baltimore,325000.0,3.0,2.0,1846.0,176.0
Baltimore,725000.0,4.0,2.5,2614.0,277.0
Baltimore,785000.0,3.0,2.5,2882.0,272.0
Baltimore,505000.0,3.0,3.0,2252.0,224.0
Baltimore,217000.0,2.0,1.5,860.0,252.0
Baltimore,120000.0,2.0,1.0,768.0,156.0
Baltimore,275000.0,2.0,2.0,1212.0,227.0
Baltimore,305000.0,3.0,2.0,1724.0,177.0
Baltimore,130000.0,2.0,1.0,1212.0,107.0
Baltimore,372000.0,3.0,1.5,1527.0,244.0
Baltimore,316500.0,3.0,3.0,1750.0,181.0
Baltimore,240000.0,3.0,1.0,1300.0,185.0
Baltimore,150000.0,4.0,2.0,1314.0,114.0
Baltimore,150000.0,3.0,1.0,1138.0,132.0
Baltimore,395000.0,3.0,3.5,1912.0,207.0
Baltimore,283250.0,5.0,2.0,2667.0,106.0
Baltimore,825000.0,6.0,3.5,3652.0,226.0
Baltimore,70000.0,3.0,1.0,1268.0,55.0
Baltimore,350000.0,3.0,2.0,1512.0,231.0
Baltimore,335000.0,3.0,2.5,1920.0,174.0
Baltimore,110000.0,3.0,3.0,1152.0,95.0
Baltimore,175000.0,4.0,1.5,1168.0,150.0
Baltimore,290000.0,3.0,1.5,2096.0,138.0
Baltimore,53000.0,3.0,1.0,1080.0,49.0
Baltimore,185000.0,2.0,2.0,1604.0,115.0
Baltimore,3200000.0,3.0,3.5,3085.0,1037.0
Baltimore,325000.0,3.0,2.5,1392.0,233.0
Baltimore,55000.0,2.0,1.0,50.0,1100.0
Baltimore,299500.0,2.0,2.0,1217.0,246.0
Baltimore,238000.0,3.0,2.5,1900.0,125.0
Boston,536000.0,2.0,1.5,1083.0,495.0
Boston,1725000.0,5.0,3.5,3060.0,564.0
Boston,769000.0,1.0,1.0,620.0,1240.0
Boston,580000.0,3.0,1.5,1538.0,377.0
Boston,1053800.0,11.0,3.0,4377.0,241.0
Boston,420000.0,2.0,1.0,723.0,581.0
Boston,340000.0,1.0,1.0,853.0,399.0
Boston,642500.0,1.0,1.0,837.0,768.0
Boston,345000.0,1.0,1.0,845.0,408.0
Boston,1130000.0,3.0,2.5,2341.0,483.0
Boston,1599000.0,3.0,3.5,1500.0,1066.0
Brighton,414000.0,1.0,1.0,645.0,642.0
Boston,1310000.0,1.0,1.0,817.0,1603.0
Milton,721500.0,1.0,1.5,1388.0,520.0
Boston,779900.0,1.0,1.0,734.0,1063.0
Boston,1761000.0,2.0,1.5,1271.0,1386.0
South Boston,522000.0,2.0,1.0,775.0,674.0
Boston,1519900.0,2.0,2.0,1028.0,1479.0
Boston,819900.0,1.0,1.0,734.0,1117.0
Boston,825000.0,2.0,2.0,1135.0,727.0
Boston,1400000.0,1.0,2.5,967.0,1448.0
Mattapan,420000.0,2.0,2.0,1032.0,407.0
Canton,824430.0,2.0,2.0,1802.0,458.0
Canton,747208.0,2.0,2.0,1555.0,481.0
Boston,1749900.0,3.0,2.5,1590.0,1101.0
Boston,694900.0,1.0,1.0,676.0,1028.0
Boston,425000.0,1.0,1.0,512.0,830.0
Boston,265000.0,2.0,1.0,660.0,402.0
Jamaica Plain,515000.0,2.0,1.0,1035.0,498.0
Jamaica Plain,607500.0,2.0,1.5,1039.0,585.0
Boston,530000.0,1.0,1.0,518.0,1023.0
Roslindale,525000.0,4.0,1.5,1650.0,318.0
Boston,719900.0,1.0,1.0,676.0,1065.0
Boston,439900.0,1.0,1.0,689.0,638.0
Boston,400000.0,1.0,1.0,605.0,661.0
Canton,642729.0,2.0,2.0,1321.0,487.0
Boston,1609900.0,2.0,2.0,1157.0,1391.0
Boston,1499900.0,2.0,2.0,1028.0,1459.0
Canton,664906.0,2.0,2.0,1555.0,428.0
Canton,713546.0,2.0,2.0,1555.0,459.0
Brookline,445000.0,1.0,1.0,730.0,610.0
Boston,924000.0,3.0,2.5,1869.0,494.0
Boston,4495000.0,3.0,3.5,2126.0,2114.0
Boston,1230000.0,2.0,1.5,959.0,1283.0
Boston,2625000.0,4.0,4.5,2400.0,1094.0
Boston,695000.0,2.0,2.0,1050.0,662.0
Boston,889000.0,3.0,2.5,1866.0,476.0
Boston,625000.0,4.0,2.0,2131.0,293.0
Boston,645000.0,2.0,1.0,715.0,902.0
Boston,889000.0,3.0,2.5,1868.0,476.0
Boston,925000.0,3.0,2.5,1852.0,499.0
Boston,579000.0,1.0,1.0,823.0,704.0
Boston,590000.0,2.0,1.0,680.0,868.0
Boston,977400.0,2.0,2.0,902.0,1084.0
Boston,654000.0,2.0,2.0,1153.0,567.0
Boston,857157.0,4.0,2.0,2364.0,363.0
Boston,1895000.0,2.0,2.0,1480.0,1280.0
Boston,990000.0,6.0,3.0,3716.0,266.0
Boston,922500.0,3.0,2.5,1853.0,498.0
Boston,855000.0,3.0,2.0,1384.0,618.0
Boston,1070000.0,6.0,3.0,2928.0,365.0
Boston,670000.0,2.0,2.0,1069.0,627.0
Boston,589000.0,2.0,2.0,909.0,648.0
Boston,655000.0,7.0,3.0,3346.0,196.0
Boston,719000.0,2.0,2.0,943.0,762.0
Boston,800000.0,2.0,2.0,1090.0,734.0
Brookline,1450000.0,3.0,2.0,1595.0,909.0
Boston,915000.0,3.0,2.5,1853.0,494.0
Boston,1298000.0,1.0,1.0,841.0,1543.0
Boston,830000.0,2.0,2.0,1070.0,776.0
Boston,924000.0,3.0,2.5,1867.0,495.0
Boston,824558.0,2.0,2.0,1090.0,756.0
Boston,750000.0,3.0,2.5,1964.0,382.0
Boston,1199000.0,3.0,2.0,1325.0,905.0
Boston,475000.0,2.0,1.0,1032.0,460.0
Boston,924000.0,3.0,2.5,1868.0,495.0
Boston,4250000.0,2.0,2.5,1641.0,2590.0
Boston,2750000.0,2.0,2.5,2077.0,1324.0
Boston,1600000.0,5.0,2.5,2611.0,613.0
Boston,949000.0,6.0,3.0,3181.0,298.0
Boston,1000000.0,4.0,2.0,2360.0,424.0
Boston,754900.0,1.0,1.0,675.0,1118.0
Boston,605000.0,4.0,1.0,1947.0,311.0
Boston,725000.0,4.0,2.0,2944.0,246.0
Boston,2010000.0,4.0,4.0,2397.0,839.0
Boston,1037400.0,1.0,1.0,1077.0,963.0
Brookline,1000000.0,4.0,2.0,1719.0,582.0
Boston,550000.0,2.0,1.0,812.0,677.0
Boston,600000.0,3.0,1.5,1557.0,385.0
Boston,1275500.0,3.0,1.5,2964.0,430.0
Boston,920000.0,3.0,2.5,1909.0,482.0
Boston,865000.0,2.0,2.0,1184.0,731.0
Boston,575000.0,1.0,1.0,455.0,1264.0
Boston,359641.0,3.0,1.5,1116.0,322.0
Boston,605000.0,2.0,2.0,1112.0,544.0
Boston,735000.0,1.0,1.0,511.0,1438.0
Boston,917851.0,4.0,1.5,1500.0,612.0
Boston,972000.0,3.0,1.5,1610.0,604.0
Boston,765000.0,2.0,2.0,1153.0,663.0
Boston,515000.0,2.0,1.0,862.0,597.0
Boston,955000.0,2.0,1.5,1140.0,838.0
Boston,1500000.0,3.0,2.0,2587.0,580.0
Boston,370000.0,2.0,1.0,628.0,589.0
Boston,434532.0,2.0,1.5,1149.0,378.0
Boston,244307.0,3.0,1.5,1644.0,149.0
Boston,300000.0,1.0,1.0,462.0,649.0
Boston,899000.0,3.0,2.5,1908.0,471.0
Boston,925000.0,3.0,2.5,1891.0,489.0
Boston,505000.0,3.0,1.0,1861.0,271.0
Jamaica Plain,142500.0,2.0,1.0,968.0,147.0
Boston,614000.0,1.0,1.0,690.0,890.0
Boston,300000.0,1.0,1.0,625.0,480.0
Boston,369000.0,2.0,1.0,797.0,463.0
Boston,850000.0,5.0,3.5,2185.0,389.0
Boston,530000.0,1.0,1.0,650.0,815.0
Boston,839000.0,0.0,1.0,495.0,1695.0
Boston,324000.0,1.0,1.5,605.0,536.0
Boston,505000.0,1.0,1.0,835.0,605.0
Boston,1120000.0,9.0,3.0,3270.0,343.0
Boston,875000.0,4.0,2.0,2864.0,306.0
Boston,775000.0,4.0,1.5,1758.0,441.0
Boston,790000.0,7.0,3.0,3966.0,199.0
