SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,2517 Marbourne Ave,Baltimore,MD,21230,100500,,1,,1024,2854,1958,,98,,,,,https://www.redfin.com/MD/Baltimore/2517-Marbourne-Ave-21230/home/11040469,,,N,Y,39.2541598,-76.6494422
PAST SALE,,Townhouse,704 W 36th St,Baltimore,MD,21211,335000,,1.5,,1780,1576,1961,,188,,,,,https://www.redfin.com/MD/Baltimore/704-W-36th-St-21211/home/10855668,,,N,Y,39.3314552,-76.6285568
PAST SALE,November-23-2022,Townhouse,1139 W Cross St,Baltimore,MD,21230,150000,2,1.5,Ward 21,1152,,1898,,130,,Sold,,,https://www.redfin.com/MD/Baltimore/1139-W-Cross-St-21230/home/11885607,BRIGHT MLS,MDBA2063990,N,Y,39.2817257,-76.6312168
PAST SALE,,Townhouse,1036 W Barre St,Baltimore,MD,21230,285000,,2.5,,2094,1040,1900,,136,,,,,https://www.redfin.com/MD/Baltimore/1036-W-Barre-St-21230/home/11885586,,,N,Y,39.2842532,-76.6274408
PAST SALE,,Single Family Residential,2311 Hamilton Ave,Baltimore,MD,21214,250000,,2,,1761,6246,1926,,142,,,,,https://www.redfin.com/MD/Baltimore/2311-Hamilton-Ave-21214/home/11186467,,,N,Y,39.3563118,-76.5688035
PAST SALE,,Townhouse,820 Ryan St,Baltimore,MD,21230,365000,,2,,1940,1481,2010,,188,,,,,https://www.redfin.com/MD/Baltimore/820-Ryan-St-21230/home/45424210,,,N,Y,39.2844301,-76.6296292
PAST SALE,,Townhouse,636 Savage St,Baltimore,MD,21224,180000,,2,,1128,1318,1925,,160,,,,,https://www.redfin.com/MD/Baltimore/636-Savage-St-21224/home/11061680,,,N,Y,39.2853336,-76.5522212
PAST SALE,,Townhouse,914 E 37th St,Baltimore,MD,21218,299900,,1.5,,1780,1360,1938,,168,,,,,https://www.redfin.com/MD/Baltimore/914-E-37th-St-21218/home/10824232,,,N,Y,39.3335315,-76.6035914
PAST SALE,November-10-2022,Condo/Co-op,22 S Howard St Unit R-202,Baltimore,MD,21201,180000,2,2,Ward 4,1461,,2006,,123,605,Sold,,,https://www.redfin.com/MD/Baltimore/22-S-Howard-St-21201/unit-R-202/home/11892090,BRIGHT MLS,MDBA2064210,N,Y,39.2882628,-76.6195569
PAST SALE,November-30-2022,Townhouse,2902 Evergreen Ave,Baltimore,MD,21214,215000,3,2,Ward 27,1728,4725,1902,,124,,Sold,,,https://www.redfin.com/MD/Baltimore/2902-Evergreen-Ave-21214/home/11142649,BRIGHT MLS,MDBA2053744,N,Y,39.3540457,-76.561094
PAST SALE,December-16-2022,Single Family Residential,3512 White Ave,Baltimore,MD,21214,190000,3,2,Ward 27,1575,10197,1926,,121,,Sold,,,https://www.redfin.com/MD/Baltimore/3512-White-Ave-21214/home/11133408,BRIGHT MLS,MDBA2064878,N,Y,39.3502953,-76.5507423
PAST SALE,February-1-2023,Condo/Co-op,3 Windblown Ct Unit T-2,Baltimore,MD,21209,145000,1,1,ROCKLAND RUN,924,,1970,,157,219,Sold,,,https://www.redfin.com/MD/Baltimore/3-Windblown-Ct-21209/unit-T2/home/9543729,BRIGHT MLS,MDBC2057160,N,Y,39.388207,-76.6656811
PAST SALE,,Single Family Residential,3707 Edgewood Rd,Baltimore,MD,21215,381000,4,3.5,,3059,9152,1941,,125,,,,,https://www.redfin.com/MD/Baltimore/3707-Edgewood-Rd-21215/home/10905035,,,N,Y,39.3295481,-76.6721989
PAST SALE,,Townhouse,426 N Luzerne Ave,Baltimore,MD,21224,200000,,2,,1372,1050,1910,,146,,,,,https://www.redfin.com/MD/Baltimore/426-N-Luzerne-Ave-21224/home/10754227,,,N,Y,39.2962675,-76.5809346
